SERIALNO,NP,TYPE,ACR,BDSP,BLD,ELEP,FULP,GASP,HFL,RMSP,TEN,VALP,YBL,R18,R60
1040375,1,1,NA,0,3-4 Apartments,40,2,3,Electricity,1,Rented,NA,1960 to 1969,none,1 or more
1040426,3,1,House on less than one acre,3,One-family house detached,80,2,30,Utility gas,9,Owned with mortgage or loan,230000,2000 to 2004,1 or more,none
1040620,2,1,House on less than one acre,3,One-family house detached,60,2,30,Utility gas,6,Owned with mortgage or loan,264000,1990 to 1999,none,1 or more
1040809,2,1,House on less than one acre,3,One-family house detached,120,2,350,Utility gas,6,Owned with mortgage or loan,2476000,1980 to 1989,none,none
1041092,9,1,House on less than one acre,4,One-family house attached,290,2,3,Electricity,6,Rented,NA,1939 or earlier,none,none
1041113,2,1,House on less than one acre,3,One-family house detached,260,2,20,Utility gas,5,Owned with mortgage or loan,165000,1950 to 1959,none,none
1041176,4,1,House on less than one acre,3,One-family house detached,60,2,50,Utility gas,6,Owned with mortgage or loan,130000,2006,1 or more,none
1041246,4,1,House on less than one acre,4,One-family house detached,80,2,130,Utility gas,7,Owned free and clear,270000,1990 to 1999,1 or more,none
1041255,1,1,House on one to less than ten acres,3,Mobile home or trailer,60,420,3,Electricity,7,Owned with mortgage or loan,130000,1970 to 1979,none,1 or more
1041275,2,1,House on less than one acre,2,One-family house detached,90,250,70,Utility gas,7,Owned with mortgage or loan,305000,1939 or earlier,none,1 or more
1041282,2,1,House on one to less than ten acres,3,One-family house detached,110,60,3,Wood,11,Owned with mortgage or loan,500000,2000 to 2004,none,1 or more
1041285,2,1,House on one to less than ten acres,2,One-family house detached,100,720,100,Wood,6,Owned with mortgage or loan,200000,1939 or earlier,none,1 or more
1041296,5,1,House on one to less than ten acres,5,One-family house detached,280,2,3,Electricity,9,Owned with mortgage or loan,350000,2000 to 2004,1 or more,none
1041336,1,1,House on less than one acre,3,One-family house detached,60,2,80,Utility gas,6,Owned with mortgage or loan,180000,1970 to 1979,none,1 or more
1041394,1,1,NA,1,20-49 Apartments,30,2,3,Electricity,3,Rented,NA,2005,none,1 or more
1041434,4,1,House on less than one acre,3,One-family house detached,70,2,70,Utility gas,8,Owned with mortgage or loan,300000,2006,1 or more,none
1041538,2,1,House on less than one acre,3,One-family house detached,270,2,70,Utility gas,6,Owned with mortgage or loan,300000,1970 to 1979,none,1 or more
1041612,1,1,House on less than one acre,3,One-family house detached,40,2,30,Utility gas,5,Owned with mortgage or loan,200000,1990 to 1999,none,1 or more
1041626,1,1,House on less than one acre,3,One-family house detached,60,2,80,Utility gas,8,Owned with mortgage or loan,300000,1950 to 1959,none,1 or more
1041718,4,1,House on less than one acre,3,One-family house detached,100,2,100,Utility gas,9,Owned with mortgage or loan,500000,1939 or earlier,1 or more,none
1041834,5,1,House on less than one acre,4,One-family house detached,70,2,130,Utility gas,7,Owned with mortgage or loan,410000,2000 to 2004,1 or more,none
1041943,3,1,House on less than one acre,3,One-family house detached,100,2,3,Electricity,10,Rented,NA,1939 or earlier,none,none
1042218,4,1,House on less than one acre,3,One-family house detached,90,300,40,Utility gas,6,Owned with mortgage or loan,180000,1960 to 1969,1 or more,none
1042263,4,1,House on less than one acre,3,One-family house detached,90,2,120,Utility gas,5,Owned with mortgage or loan,200000,1990 to 1999,1 or more,none
1042330,4,1,House on less than one acre,4,One-family house detached,100,2,30,Utility gas,7,Rented,NA,1960 to 1969,1 or more,none
1042396,2,1,House on one to less than ten acres,3,One-family house detached,60,2,3,Wood,7,Owned free and clear,200000,1939 or earlier,none,1 or more
1042401,2,1,House on less than one acre,2,One-family house detached,60,2,90,Utility gas,4,Rented,NA,1950 to 1959,1 or more,none
1042470,2,1,House on less than one acre,3,One-family house detached,120,100,3,Electricity,7,Owned with mortgage or loan,225000,1970 to 1979,none,1 or more
1042620,1,1,House on less than one acre,3,One-family house detached,70,2,120,Utility gas,6,Owned with mortgage or loan,170000,1970 to 1979,none,1 or more
1042745,1,1,House on less than one acre,3,One-family house detached,70,2,3,Electricity,4,Owned with mortgage or loan,225000,1980 to 1989,none,1 or more
1042826,2,1,House on less than one acre,3,One-family house detached,20,2,10,Utility gas,5,Owned free and clear,400000,1939 or earlier,none,none
1042941,2,1,NA,1,50 or more apartments,30,2,50,"Bottled, tank, or LP gas",3,Rented,NA,1939 or earlier,none,none
1043110,3,1,House on less than one acre,4,One-family house detached,190,2,40,Utility gas,9,Owned with mortgage or loan,350000,2000 to 2004,1 or more,none
1043196,2,1,House on one to less than ten acres,2,One-family house detached,180,2,3,Wood,5,Owned free and clear,17000,1960 to 1969,none,1 or more
1043322,2,1,House on less than one acre,4,One-family house detached,50,2,20,Utility gas,9,Owned with mortgage or loan,425000,1939 or earlier,none,1 or more
1043380,3,1,NA,3,2 Apartments,110,2,3,Electricity,5,Rented,NA,1939 or earlier,1 or more,none
1043401,1,1,House on less than one acre,3,One-family house attached,20,2,30,Electricity,5,Owned with mortgage or loan,137000,2008,none,none
1043475,1,1,NA,2,10-19 Apartments,70,2,3,Electricity,6,Rented,NA,1990 to 1999,none,none
1043568,1,1,NA,2,2 Apartments,80,2,3,Electricity,4,Owned free and clear,195000,1980 to 1989,none,1 or more
1043605,1,1,House on less than one acre,4,One-family house detached,60,2,40,Utility gas,9,Owned free and clear,1000000,1950 to 1959,none,1 or more
1043622,2,1,NA,2,2 Apartments,40,2,3,Electricity,3,Rented,NA,1970 to 1979,none,none
1043758,2,1,House on one to less than ten acres,4,One-family house detached,140,2,3,Electricity,10,Owned with mortgage or loan,435000,1980 to 1989,none,1 or more
1043907,2,1,House on less than one acre,2,One-family house detached,140,2,40,Utility gas,8,Owned with mortgage or loan,900000,1970 to 1979,none,1 or more
1043946,2,1,House on one to less than ten acres,4,One-family house detached,120,600,3,Wood,12,Owned with mortgage or loan,380000,1980 to 1989,none,1 or more
1043950,1,1,NA,0,10-19 Apartments,30,2,3,No fuel used,1,Owned with mortgage or loan,200000,2008,none,none
1044006,3,1,House on less than one acre,5,One-family house detached,100,2,70,Utility gas,10,Rented,NA,1990 to 1999,1 or more,none
1044159,4,1,House on less than one acre,4,One-family house detached,140,2,30,Utility gas,9,Owned with mortgage or loan,250000,2007,1 or more,1 or more
1044246,4,1,House on less than one acre,4,One-family house detached,60,2,20,Utility gas,6,Owned with mortgage or loan,179000,2000 to 2004,1 or more,none
1044310,2,1,House on one to less than ten acres,3,One-family house detached,170,2,3,Electricity,9,Owned free and clear,500000,1939 or earlier,none,1 or more
1044348,3,1,House on less than one acre,3,One-family house detached,100,2,90,Utility gas,6,Owned with mortgage or loan,350000,1990 to 1999,none,1 or more
1044460,1,1,House on less than one acre,4,One-family house detached,60,2,3,Electricity,10,Rented,NA,2000 to 2004,none,none
1044503,1,1,House on less than one acre,5,One-family house detached,80,2,150,Utility gas,8,Owned with mortgage or loan,500000,1939 or earlier,none,none
1044543,4,1,House on less than one acre,4,One-family house detached,90,2,110,Utility gas,12,Owned with mortgage or loan,500000,1960 to 1969,1 or more,none
1044574,5,1,House on ten or more acres,3,One-family house detached,250,2,3,Electricity,5,Rented,NA,1970 to 1979,1 or more,none
1044595,3,1,House on less than one acre,3,One-family house attached,70,2,3,Electricity,4,Rented,NA,2006,none,none
1044619,2,1,House on less than one acre,2,One-family house attached,90,2,10,"Bottled, tank, or LP gas",3,Rented,NA,1940 to 1949,none,none
1044713,2,1,House on less than one acre,3,One-family house detached,120,2,20,Utility gas,5,Owned with mortgage or loan,400000,1960 to 1969,none,none
1044951,2,1,House on ten or more acres,4,One-family house detached,110,2,40,Wood,9,Owned free and clear,230000,1939 or earlier,none,1 or more
1045242,2,1,House on less than one acre,4,One-family house detached,120,2,50,Utility gas,7,Owned free and clear,425000,1950 to 1959,none,1 or more
1045262,3,1,House on less than one acre,3,One-family house detached,50,2,40,Wood,8,Owned free and clear,425000,1970 to 1979,none,1 or more
1045428,2,1,House on less than one acre,3,Mobile home or trailer,90,2,3,Electricity,5,Owned with mortgage or loan,85000,1990 to 1999,none,none
1045508,2,1,House on one to less than ten acres,4,One-family house detached,210,2,3,Electricity,6,Rented,NA,1940 to 1949,1 or more,none
1045525,3,1,House on less than one acre,3,One-family house detached,140,2,40,Utility gas,7,Owned with mortgage or loan,250000,1940 to 1949,none,1 or more
1045689,2,1,House on one to less than ten acres,4,One-family house detached,140,2,100,Utility gas,8,Owned with mortgage or loan,1000000,1990 to 1999,none,1 or more
1045715,2,1,House on ten or more acres,3,One-family house detached,150,1100,3,"Fuel oil, kerosene, etc.",8,Owned with mortgage or loan,450000,1939 or earlier,none,1 or more
1045729,7,1,House on one to less than ten acres,3,Mobile home or trailer,150,200,3,Electricity,7,Rented,NA,2000 to 2004,1 or more,none
1045731,3,1,House on less than one acre,3,Mobile home or trailer,100,2,3,Wood,5,Owned with mortgage or loan,45000,1970 to 1979,1 or more,none
1045771,1,1,House on one to less than ten acres,1,One-family house detached,50,2,3,Wood,2,Owned with mortgage or loan,200000,1960 to 1969,none,none
1045860,1,1,House on less than one acre,1,One-family house attached,110,2,3,Electricity,3,Owned with mortgage or loan,140000,1970 to 1979,none,none
1045870,1,1,NA,2,2 Apartments,80,2,3,Electricity,3,Rented,NA,1990 to 1999,none,none
1045877,1,1,NA,2,5-9 Apartments,20,2,3,Electricity,3,Rented,NA,1970 to 1979,none,none
1046097,6,1,House on less than one acre,1,Mobile home or trailer,100,2,20,Electricity,3,Rented,NA,1970 to 1979,1 or more,none
1046221,2,1,House on less than one acre,3,One-family house detached,100,2,70,Utility gas,6,Owned free and clear,275000,1950 to 1959,none,1 or more
1046241,3,1,House on less than one acre,4,One-family house detached,200,2,100,Utility gas,11,Owned with mortgage or loan,260000,1939 or earlier,none,1 or more
1046329,1,1,House on one to less than ten acres,3,One-family house detached,90,400,3,Wood,7,Owned with mortgage or loan,230000,1980 to 1989,none,1 or more
1046724,4,1,House on less than one acre,3,One-family house attached,60,2,20,Utility gas,8,Owned with mortgage or loan,179000,2007,1 or more,none
1046739,2,1,House on less than one acre,4,One-family house detached,50,2,20,Utility gas,8,Owned with mortgage or loan,800000,1939 or earlier,none,none
1046805,4,1,House on less than one acre,3,One-family house detached,120,500,3,Electricity,7,Owned with mortgage or loan,157000,1970 to 1979,none,1 or more
1046810,2,1,House on less than one acre,3,One-family house detached,100,2,20,Utility gas,6,Owned with mortgage or loan,180000,1970 to 1979,none,1 or more
1046893,3,1,House on one to less than ten acres,3,Mobile home or trailer,70,2,3,Wood,7,Owned free and clear,150000,1970 to 1979,none,none
1046918,2,1,House on less than one acre,3,One-family house detached,60,2,50,Utility gas,6,Owned with mortgage or loan,270000,1990 to 1999,none,1 or more
1047033,6,1,NA,3,5-9 Apartments,80,2,3,Electricity,6,Rented,NA,2009,1 or more,none
1047107,2,1,House on one to less than ten acres,1,One-family house detached,100,2,20,Electricity,5,Owned with mortgage or loan,100000,1940 to 1949,none,1 or more
1047174,3,1,House on less than one acre,3,One-family house detached,130,2,30,Utility gas,7,Owned with mortgage or loan,265000,1980 to 1989,none,none
1047185,1,1,House on less than one acre,3,One-family house detached,110,2,100,Utility gas,6,Owned with mortgage or loan,135000,1940 to 1949,none,none
1047290,3,1,House on less than one acre,4,One-family house detached,130,2,100,Utility gas,5,Owned free and clear,150000,1960 to 1969,none,none
1047332,2,1,House on one to less than ten acres,1,Mobile home or trailer,110,2,10,Wood,4,Owned free and clear,20000,1960 to 1969,none,1 or more
1047381,2,1,House on less than one acre,2,One-family house detached,90,400,3,Electricity,4,Owned free and clear,90000,1950 to 1959,none,none
1047401,1,1,House on one to less than ten acres,3,One-family house detached,170,2,3,Electricity,6,Owned free and clear,98000,1990 to 1999,none,1 or more
1047678,1,1,House on less than one acre,2,One-family house detached,90,2,3,Electricity,6,Occupied without payment of rent,NA,1939 or earlier,none,1 or more
1047782,2,1,House on less than one acre,3,One-family house detached,70,2,3,Electricity,4,Owned with mortgage or loan,167000,1990 to 1999,none,none
1047949,1,1,House on less than one acre,3,One-family house detached,70,2,20,Utility gas,6,Owned with mortgage or loan,365000,1950 to 1959,none,none
1048178,1,1,House on less than one acre,0,One-family house detached,50,2,3,Electricity,2,Rented,NA,1960 to 1969,none,none
1048183,2,1,NA,1,50 or more apartments,60,2,3,Electricity,2,Rented,NA,1970 to 1979,none,1 or more
1048439,8,1,House on less than one acre,3,One-family house detached,250,2,3,Electricity,5,Owned with mortgage or loan,150000,1970 to 1979,1 or more,1 or more
1048478,2,1,House on less than one acre,2,One-family house attached,150,2,150,Utility gas,4,Rented,NA,1950 to 1959,none,none
1048544,1,1,NA,2,2 Apartments,140,2,3,Electricity,3,Rented,NA,1940 to 1949,none,none
1048598,6,1,House on less than one acre,2,One-family house detached,170,2,3,"Bottled, tank, or LP gas",3,Owned free and clear,130000,1990 to 1999,1 or more,none
1048687,1,1,House on less than one acre,3,One-family house detached,70,2,20,Utility gas,5,Owned free and clear,245000,1990 to 1999,none,1 or more
1048690,5,1,House on less than one acre,3,One-family house detached,170,700,3,"Fuel oil, kerosene, etc.",4,Owned with mortgage or loan,120000,1980 to 1989,1 or more,1 or more
1048799,1,1,House on less than one acre,3,One-family house detached,50,2,3,Electricity,7,Owned with mortgage or loan,320000,1970 to 1979,none,none
1049085,2,1,House on less than one acre,3,One-family house detached,40,2,40,Utility gas,9,Owned with mortgage or loan,375000,1950 to 1959,none,1 or more
1049262,1,1,NA,2,3-4 Apartments,110,2,3,Electricity,3,Rented,NA,1980 to 1989,none,none
1049279,6,1,House on less than one acre,2,One-family house detached,120,2,3,Electricity,5,Rented,NA,1940 to 1949,1 or more,none
1049458,2,1,House on less than one acre,2,One-family house detached,100,1200,3,Electricity,4,Rented,NA,1939 or earlier,none,none
1049567,4,1,House on less than one acre,4,One-family house detached,160,2,90,Electricity,8,Owned with mortgage or loan,800000,2014,1 or more,none
1049583,1,1,House on less than one acre,2,One-family house detached,100,2,3,Electricity,5,Owned free and clear,160000,1970 to 1979,none,1 or more
1049671,1,1,House on less than one acre,3,Mobile home or trailer,110,2,3,Electricity,6,Owned free and clear,35000,1970 to 1979,none,1 or more
1049734,3,1,House on less than one acre,4,One-family house detached,70,2,4,Electricity,9,Owned with mortgage or loan,300000,1970 to 1979,1 or more,none
1049768,1,1,House on less than one acre,3,Mobile home or trailer,120,2,3,Electricity,4,Owned free and clear,45000,1990 to 1999,none,1 or more
1049800,2,1,House on less than one acre,3,One-family house detached,50,2,150,Utility gas,7,Owned with mortgage or loan,500000,1939 or earlier,none,1 or more
1049875,1,1,House on less than one acre,1,One-family house detached,110,2,3,Wood,4,Owned with mortgage or loan,120000,1939 or earlier,none,1 or more
1050168,5,1,NA,2,20-49 Apartments,100,2,3,Electricity,4,Rented,NA,1950 to 1959,1 or more,none
1050253,1,1,House on less than one acre,3,One-family house detached,40,2,80,Utility gas,5,Owned with mortgage or loan,225000,1970 to 1979,none,1 or more
1050275,4,1,House on less than one acre,3,One-family house detached,160,2,10,Electricity,11,Owned with mortgage or loan,230000,1970 to 1979,1 or more,none
1050560,2,1,House on one to less than ten acres,5,One-family house detached,300,2,3,Wood,7,Owned with mortgage or loan,150000,2000 to 2004,none,1 or more
1050561,2,1,House on less than one acre,3,One-family house detached,70,2,150,Utility gas,7,Owned with mortgage or loan,550000,1970 to 1979,1 or more,none
1050655,2,1,NA,2,3-4 Apartments,70,2,3,Electricity,4,Rented,NA,1970 to 1979,none,none
1050731,1,1,House on less than one acre,0,One-family house detached,50,1000,3,"Fuel oil, kerosene, etc.",1,Owned free and clear,150000,1980 to 1989,none,1 or more
1050746,1,1,House on less than one acre,4,One-family house detached,60,2,60,Utility gas,7,Owned with mortgage or loan,320000,1990 to 1999,none,none
1050772,4,1,House on less than one acre,4,One-family house detached,140,2,3,Electricity,7,Rented,NA,1970 to 1979,1 or more,none
1050857,3,1,House on one to less than ten acres,3,One-family house detached,60,2,50,Utility gas,6,Owned with mortgage or loan,300000,1960 to 1969,none,1 or more
1051000,2,1,House on less than one acre,3,One-family house detached,80,2,80,Utility gas,12,Owned with mortgage or loan,294000,1990 to 1999,none,1 or more
1051047,2,1,NA,2,2 Apartments,100,2,3,Electricity,5,Rented,NA,1990 to 1999,none,none
1051131,2,1,House on less than one acre,3,One-family house detached,30,2,3,Electricity,6,Owned with mortgage or loan,275000,2015,none,none
1051435,4,1,House on less than one acre,4,One-family house detached,70,2,50,Electricity,5,Owned with mortgage or loan,256000,2006,1 or more,none
1051684,5,1,House on less than one acre,4,One-family house detached,130,2,90,Utility gas,7,Owned with mortgage or loan,325000,1980 to 1989,1 or more,1 or more
1051742,4,1,House on less than one acre,3,One-family house detached,230,2,3,Electricity,5,Rented,NA,1970 to 1979,1 or more,1 or more
1051805,2,1,NA,1,5-9 Apartments,80,2,3,Electricity,3,Rented,NA,1990 to 1999,none,none
1052398,5,1,House on less than one acre,3,One-family house detached,80,2,70,Utility gas,4,Owned with mortgage or loan,180000,1990 to 1999,1 or more,none
1052947,1,1,House on less than one acre,3,One-family house detached,150,150,3,Electricity,6,Owned with mortgage or loan,188000,1980 to 1989,none,1 or more
1053013,4,1,House on one to less than ten acres,4,One-family house detached,150,2,3,Electricity,9,Owned with mortgage or loan,336000,1960 to 1969,1 or more,none
1053052,2,1,House on one to less than ten acres,2,One-family house detached,200,100,3,Wood,5,Owned with mortgage or loan,300000,1990 to 1999,none,1 or more
1053081,3,1,House on one to less than ten acres,4,One-family house detached,140,2,3,Electricity,10,Owned with mortgage or loan,325000,1950 to 1959,none,1 or more
1053257,2,1,House on one to less than ten acres,3,One-family house detached,100,2,3,Electricity,6,Owned with mortgage or loan,220000,1970 to 1979,none,1 or more
1053391,2,1,NA,2,3-4 Apartments,40,2,40,Utility gas,4,Rented,NA,2013,none,none
1053427,3,1,House on less than one acre,3,One-family house detached,80,2,30,Utility gas,6,Owned with mortgage or loan,130000,1970 to 1979,1 or more,none
1053473,1,1,House on less than one acre,2,One-family house detached,40,2,30,Utility gas,5,Owned free and clear,170000,1939 or earlier,none,1 or more
1053860,2,1,House on less than one acre,3,One-family house detached,60,2,90,Utility gas,6,Owned free and clear,250000,1960 to 1969,none,1 or more
1053907,1,1,House on less than one acre,3,One-family house detached,100,150,3,Electricity,6,Owned with mortgage or loan,188000,1990 to 1999,none,1 or more
1054156,1,1,House on less than one acre,3,One-family house detached,30,2,60,Utility gas,5,Occupied without payment of rent,NA,2010,none,none
1054247,2,1,House on less than one acre,4,One-family house detached,110,2,20,Utility gas,7,Owned free and clear,275000,1970 to 1979,none,1 or more
1054302,2,1,House on less than one acre,4,One-family house detached,120,2,140,Utility gas,8,Rented,NA,1940 to 1949,none,none
1054654,1,1,House on ten or more acres,2,One-family house detached,170,2,3,Electricity,8,Owned free and clear,150000,2007,none,1 or more
1054660,1,1,House on less than one acre,1,One-family house detached,40,2,3,Electricity,3,Owned with mortgage or loan,80000,1950 to 1959,none,1 or more
1054747,2,1,House on less than one acre,4,One-family house detached,80,2,3,Electricity,8,Owned with mortgage or loan,160000,2000 to 2004,none,1 or more
1054758,3,1,House on less than one acre,2,One-family house detached,60,2,40,Utility gas,5,Owned with mortgage or loan,380000,1950 to 1959,1 or more,none
1054799,4,1,House on less than one acre,3,One-family house detached,210,2,3,Electricity,6,Owned with mortgage or loan,375000,1990 to 1999,1 or more,none
1055102,3,1,House on one to less than ten acres,4,Mobile home or trailer,300,2,3,Electricity,6,Owned with mortgage or loan,125000,1990 to 1999,1 or more,none
1055125,1,1,House on less than one acre,3,Mobile home or trailer,100,2,3,Electricity,5,Owned with mortgage or loan,250000,1990 to 1999,none,1 or more
1055180,2,1,NA,0,"Boat, RV, van, etc.",60,2,100,"Bottled, tank, or LP gas",1,Owned free and clear,3000,1990 to 1999,none,none
1055192,2,1,House on less than one acre,2,One-family house detached,40,2,50,Utility gas,7,Owned with mortgage or loan,125000,1990 to 1999,none,1 or more
1055239,2,1,NA,2,3-4 Apartments,100,2,3,Electricity,4,Rented,NA,1990 to 1999,none,none
1055412,2,1,House on less than one acre,3,One-family house detached,100,2,40,Utility gas,13,Owned with mortgage or loan,489000,1939 or earlier,none,1 or more
1055491,2,1,NA,2,3-4 Apartments,100,2,3,Electricity,3,Rented,NA,2000 to 2004,1 or more,none
1055526,2,1,House on less than one acre,2,One-family house detached,250,2,170,Utility gas,5,Owned with mortgage or loan,200000,1939 or earlier,none,1 or more
1055847,4,1,House on less than one acre,2,One-family house attached,70,2,20,Utility gas,6,Rented,NA,2006,none,none
1056134,2,1,House on ten or more acres,3,One-family house detached,80,2,3,Wood,6,Owned free and clear,200000,1960 to 1969,none,1 or more
1056144,3,1,House on less than one acre,4,One-family house detached,130,2,120,Utility gas,8,Owned with mortgage or loan,450000,1970 to 1979,none,1 or more
1056159,1,1,House on less than one acre,4,One-family house detached,80,2,3,Electricity,5,Owned free and clear,500000,2011,none,1 or more
1056300,5,1,House on less than one acre,3,One-family house detached,140,2,70,Electricity,8,Rented,NA,1960 to 1969,1 or more,none
1056348,1,1,NA,1,10-19 Apartments,30,2,40,Utility gas,2,Rented,NA,1970 to 1979,none,none
1056447,2,1,House on less than one acre,5,One-family house detached,90,2,90,Utility gas,12,Owned free and clear,220000,1939 or earlier,none,1 or more
1056524,1,1,House on less than one acre,3,One-family house detached,100,2,80,Utility gas,6,Owned with mortgage or loan,235000,1990 to 1999,none,none
1056623,2,1,House on less than one acre,4,One-family house detached,90,2,90,Utility gas,8,Owned with mortgage or loan,325000,1980 to 1989,none,1 or more
1056810,2,1,House on less than one acre,2,One-family house attached,160,2,30,Electricity,5,Owned free and clear,325000,1980 to 1989,none,1 or more
1056832,3,1,House on less than one acre,4,One-family house detached,110,2,100,Utility gas,6,Owned with mortgage or loan,200000,1970 to 1979,1 or more,1 or more
1056861,3,1,NA,2,10-19 Apartments,100,10,50,Utility gas,4,Rented,NA,1990 to 1999,1 or more,none
1057130,1,1,House on ten or more acres,3,Mobile home or trailer,150,2,3,Wood,8,Owned with mortgage or loan,260000,1990 to 1999,none,none
1057192,1,1,NA,1,50 or more apartments,30,2,3,Electricity,2,Rented,NA,1970 to 1979,none,none
1057342,4,1,House on less than one acre,4,One-family house detached,110,900,4,Wood,8,Owned with mortgage or loan,450000,1939 or earlier,1 or more,none
1057537,1,1,House on less than one acre,3,One-family house detached,100,2,50,Utility gas,6,Owned free and clear,200000,1980 to 1989,none,1 or more
1057696,2,1,House on less than one acre,4,One-family house detached,110,500,3,Wood,7,Owned with mortgage or loan,275000,1960 to 1969,none,1 or more
1057794,1,1,NA,2,10-19 Apartments,100,2,3,Electricity,4,Rented,NA,1939 or earlier,none,1 or more
1058081,5,1,House on less than one acre,4,One-family house detached,130,250,120,Utility gas,6,Owned with mortgage or loan,130000,1939 or earlier,1 or more,none
1058272,1,1,House on less than one acre,2,One-family house detached,110,800,3,"Fuel oil, kerosene, etc.",5,Owned free and clear,200000,1939 or earlier,none,none
1058355,1,1,House on less than one acre,3,One-family house detached,110,2,20,Utility gas,7,Owned with mortgage or loan,283000,1980 to 1989,none,1 or more
1058398,2,1,House on less than one acre,4,One-family house detached,160,2,3,Electricity,8,Owned with mortgage or loan,325000,1939 or earlier,none,1 or more
1058420,6,1,House on less than one acre,4,One-family house attached,210,2,3,Electricity,10,Owned with mortgage or loan,175000,1980 to 1989,1 or more,none
1058444,2,1,House on less than one acre,2,One-family house detached,60,600,3,Electricity,8,Owned free and clear,100000,1939 or earlier,none,none
1058451,1,1,NA,1,5-9 Apartments,50,2,3,Electricity,3,Rented,NA,1950 to 1959,none,1 or more
1058536,7,1,House on less than one acre,4,One-family house detached,110,2,50,Utility gas,11,Rented,NA,1980 to 1989,1 or more,none
1058631,2,1,NA,2,3-4 Apartments,70,2,3,Electricity,4,Rented,NA,2000 to 2004,1 or more,none
1058683,2,1,House on less than one acre,4,One-family house detached,540,2,200,Utility gas,9,Owned with mortgage or loan,1100000,1990 to 1999,none,none
1058684,1,1,House on less than one acre,3,One-family house detached,240,2,30,Utility gas,7,Owned free and clear,260000,1960 to 1969,none,1 or more
1058817,1,1,NA,1,10-19 Apartments,90,2,3,Electricity,2,Rented,NA,1960 to 1969,none,none
1058972,1,1,NA,1,50 or more apartments,40,2,3,Electricity,2,Rented,NA,2008,none,none
1059088,2,1,NA,2,10-19 Apartments,60,2,3,Electricity,4,Rented,NA,1950 to 1959,none,none
1059196,2,1,House on less than one acre,3,One-family house detached,70,2,30,Utility gas,6,Owned with mortgage or loan,230000,2007,none,1 or more
1059197,2,1,House on less than one acre,3,One-family house detached,100,2,3,Electricity,6,Owned free and clear,350000,1950 to 1959,none,1 or more
1059280,1,1,House on less than one acre,3,Mobile home or trailer,50,2,3,Wood,5,Owned free and clear,83000,1970 to 1979,none,1 or more
1059356,2,1,House on less than one acre,2,Mobile home or trailer,200,2,10,Electricity,6,Owned with mortgage or loan,175000,2000 to 2004,none,1 or more
1059471,2,1,House on less than one acre,2,One-family house detached,90,2,40,Utility gas,3,Owned with mortgage or loan,300000,1950 to 1959,none,none
1059535,1,1,House on less than one acre,2,One-family house detached,80,2,3,Electricity,5,Owned with mortgage or loan,185000,1970 to 1979,none,none
1059771,1,1,House on less than one acre,4,One-family house detached,60,2,40,Utility gas,8,Owned with mortgage or loan,225000,1960 to 1969,none,1 or more
1059838,2,1,House on ten or more acres,2,One-family house detached,50,2,3,Wood,4,Owned with mortgage or loan,175000,1950 to 1959,none,none
1060060,3,1,House on less than one acre,3,One-family house detached,120,2,20,Utility gas,7,Owned with mortgage or loan,220000,2000 to 2004,1 or more,none
1060479,2,1,House on one to less than ten acres,3,One-family house detached,250,2,3,Electricity,10,Owned free and clear,250000,1970 to 1979,none,1 or more
1060548,3,1,House on less than one acre,2,One-family house detached,120,2,3,Electricity,7,Rented,NA,1990 to 1999,none,none
1060806,4,1,NA,3,10-19 Apartments,80,2,3,Electricity,6,Rented,NA,1990 to 1999,1 or more,none
1060816,3,1,House on less than one acre,4,One-family house detached,150,2,3,Electricity,5,Owned with mortgage or loan,200000,1980 to 1989,none,1 or more
1060914,1,1,House on less than one acre,2,Mobile home or trailer,80,330,3,Wood,4,Owned free and clear,1000,1960 to 1969,none,1 or more
1060915,1,1,House on less than one acre,3,One-family house detached,110,2,90,Utility gas,7,Owned with mortgage or loan,300000,1990 to 1999,none,none
1060923,1,1,House on less than one acre,2,One-family house detached,60,2,40,Utility gas,5,Owned with mortgage or loan,100000,1939 or earlier,none,1 or more
1061053,5,1,House on less than one acre,4,One-family house detached,130,2,50,Electricity,7,Owned with mortgage or loan,350000,1950 to 1959,1 or more,none
1061064,1,1,House on less than one acre,3,One-family house detached,50,2,60,Utility gas,6,Owned free and clear,340000,1990 to 1999,none,none
1061277,2,1,House on one to less than ten acres,3,One-family house detached,150,600,3,Wood,5,Owned with mortgage or loan,250000,1940 to 1949,none,1 or more
1061423,2,1,House on less than one acre,3,One-family house detached,130,720,50,Electricity,4,Owned with mortgage or loan,175000,1970 to 1979,none,none
1061440,2,1,House on less than one acre,3,One-family house detached,70,2,100,Utility gas,4,Owned with mortgage or loan,163000,1990 to 1999,none,none
1061462,1,1,House on one to less than ten acres,1,One-family house detached,210,2,10,Electricity,3,Owned with mortgage or loan,89000,1940 to 1949,none,1 or more
1061833,4,1,House on less than one acre,3,Mobile home or trailer,200,2,3,Electricity,5,Owned with mortgage or loan,40000,1990 to 1999,1 or more,none
1061929,1,1,House on less than one acre,3,One-family house detached,100,2,3,Electricity,6,Owned free and clear,270000,1980 to 1989,none,1 or more
1062014,2,1,House on one to less than ten acres,3,One-family house detached,180,2,10,Wood,6,Owned free and clear,350000,2008,none,1 or more
1062020,2,1,House on one to less than ten acres,3,One-family house detached,90,2,20,Utility gas,11,Owned free and clear,1100,2006,none,1 or more
